#	0:18	1:36	2:54	3:72	4:88	5:106	6:124	7:140	8:158	9:176
	10:184	11:202	12:220	13:238#

240		272		36		1		#0#
260		272		158		0
380		272		124		0
395		272		36		1
460		272		140		1
480		272		106		0
500		272		140		0
510		272		158		1
540		272		88		1
600		272		88		0

630		272		158		1
690		272		220		2
710		272		140		0
760		272		220		2
800		272		88		1
830		272		176		1
865		272		88		1
880		272		176		2
950		272		106		2
970		272		220		1

990		272		140		1		#2#
995		272		220		1
1040	272		106		1
1050	272		124		2
1080	272		106		2
1110	272		158		0
1150	272		124		0
1200	272		88		1
1230	272		124		1
1300	272		72		1

1305	272		106		1		#3#
1380	272		158		1
1400	272		72		1
1450	272		72		0
1480	272		158		0
1500	272		202		1
1520	272		140		1
1530	272		202		0
1560	272		88		0
1590	272		140		1

1610	272		88		1		#4#
1650	272		176		0
1700	272		72		0
1720	272		202		0
1780	272		124		2
1830	272		202		2
1880	272		72		2
1900	272		140		2
1910	272		72		2
1970	272		176		0

2000	272		140		2		#5#
2005	272		88		2
2050	272		140		2
2080	272		140		2
2100	272		184		2
2140	272		106		0
2200	272		184		0
2250	272		184		0
2304	272		106		1
2350	272		54		1

2400	272		158		1		#6#
2450	272		18		1
2480	272		140		1
2500	272		140		1
2540	272		184		0
2610	272		106		0
2650	272		184		1
2700	272		54		1
2708	272		140		0
2740	272		54		0

2780	272		184		2		#7#
2800	272		140		2
2880	272		184		0
2900	272		106		0
2940	272		140		0
2960	272		184		0
3010	272		140		0
3070	272		140		0
3110	272		176		1
3160	272		106		1

3200	272		176		0		#8#
3205	272		176		2
3270	272		106		2
3304	272		54		2
3314	272		140		2
3350	272		18		0
3400	272		176		0
3453	272		140		0
3480	272		176		0
3500	272		106		0

3520	272		176		2		#9#
3650	272		36		1
3655	272		140		1
3700	272		18		1
3704	272		140		1
3780	272		140		2
3810	272		176		2
3880	272		106		0
3900	272		140		0
4100	0		0		99

